claim_id,requirement_id,subject,jurisdiction,responsible_actor,actor_override_reason,finding,documented_policy,technical_control,deployed_configuration,deployment_basis,independent_verification,evidence_label,verified_fact,assessment,known_fact_basis,implementation_state,deployment_evidence_state,historical_as_of,applicability_reason,binding_obligation,last_verified,source_ids,unresolved_question,next_action,notes
"FS-GLOBAL-011","OASPS-C02","Flock Safety ALPR ecosystem — control-plane observability","Global","Shared","","Permanent sharing-change logging is a meaningful remediation, but complete retention, filter, feature, role, vendor-privilege, evidence, and legal-hold history is not public.","California remediation material says sharing-setting changes are permanently logged; compliance pages describe administrative controls.","Sharing-change logging is described; full control-plane coverage is not.","The sharing control is described as deployed; other event classes and customer access remain uncertain.","Cited compliance and California remediation pages describe sharing-event controls; other event classes and customer configurations remain uncertain.","The public can inspect the remediation statement but not test complete event coverage or every customer's export.","Partially verifiable","","Partly meets","","Deployed now","Affirmative","","","","2026-08-14","SRC-0016|SRC-0021","Which rights-relevant configuration changes produce before-and-after tamper-resistant events accessible to customers?","Publish the control-plane schema and provide lawful sample exports and independent completeness tests.","The historical failure validates the need for control-plane evidence without proving current failure."
"FS-GLOBAL-012","OASPS-C03","Flock Safety ALPR ecosystem — blocked prohibited attempts","Global","Vendor","","Flock publicly states that blocked prohibited searches are not processed, stored, or logged, so the described design does not meet OASPS's privacy-preserving attempted-action record requirement.","The Search Filters page states the prohibited query is not logged.","The technical control blocks the query before ordinary processing.","Vendor-described as deployed for covered filters; jurisdiction and rule coverage vary.","Cited Search Filters material describes the covered filter behavior as deployed; jurisdictional and rule coverage vary and behavior is not independently verified.","The published design statement is directly inspectable; production operation is not independently tested here.","Verified","The published Search Filters material states that blocked prohibited searches are not processed, stored, or logged.","Does not meet","","Deployed now","Affirmative","","","","2026-08-14","SRC-0017","Can the system retain an actor, time, rule, and review event without preserving prohibited query content?","Design and independently test a privacy-preserving blocked-action event.","Does not meet is an OASPS assessment, not a finding of legal noncompliance or misconduct."
"FS-GLOBAL-013","OASPS-C04","Flock Safety ALPR ecosystem — audit evidence retention","Global","Shared","","Search audit trails and public portal capability are described, but the retention period for every event class and the difference between internal and public history are not fully documented.","Compliance material describes audit records and public portal surfaces.","Internal logs and public reporting surfaces are vendor-described.","Retention varies by event class, product, customer, and public interface.","Cited compliance material describes current retention and audit controls; coverage varies by event class, product, customer, and public interface.","The available source does not reconcile any public view to the complete internal record.","Partially verifiable","","Partly meets","","Deployed now","Affirmative","","","","2026-08-14","SRC-0016","How long is each search, export, configuration, access, deletion, and blocked-action event retained internally and publicly?","Publish an event-class schedule and reconcile public views to independently reviewed internal totals.","Public visibility duration and internal log retention are separate properties."
"FS-GLOBAL-014","OASPS-C05","Flock Safety ALPR ecosystem — independent audit access","Global","Shared","","No public evidence establishes that an independent rights-focused auditor can inspect the complete unfiltered use and control-plane record under enforceable access rights.","Flock announces security testing and refers to controlled assessments, but rights/use audit access is not established.","Security assessment mechanisms may exist; complete rights-focused access is unknown.","Unknown across customers and jurisdictions.","","The available announcement does not include the independent report, scope, complete event inventory, or access terms.","Unknown","","Unknown","","Unknown","","","","","2026-08-14","SRC-0023","Can a genuinely independent reviewer access the complete rights-relevant audit record rather than selected excerpts?","Obtain auditor mandate, access terms, event inventory, sampling protocol, findings, and disposition.","Cybersecurity assurance is not treated as a substitute for civil-liberties and use oversight."
"FS-GLOBAL-015","OASPS-C06","Flock Safety ALPR ecosystem — public aggregate reporting","Global","Shared","","Flock describes Transparency Portals that can publish policy, retention, sharing, and audit information; customer enablement, fields, history, and reconciliation are not independently established here.","Compliance material promotes public Transparency Portals.","Portal-generated public reporting and search-audit surfaces are vendor-described.","Optional and customer-enabled; fields and history vary.","","Specific portal content was not reproducibly retrieved during this build, so external verification remains limited.","Vendor-asserted","","Partly meets","","Optional or customer-configurable","","","","","2026-08-14","SRC-0016","Which customers publish portals and do portal fields and totals reconcile to complete internal evidence?","Publish a versioned reporting schema, participation inventory, archive, and independent reconciliation.","Portal capability is credited without assuming universal enablement or current local content."
"FS-GLOBAL-016","OASPS-D01","Flock Safety ALPR ecosystem — minimization by default","Global","Shared","","A seven-day national default is a meaningful minimization step, but existing customers, local approvals, fields, and optional capabilities can differ.","The LPR policy states a seven-day default and permits customer-specific or legally required settings.","Automated retention is described; complete field and feature minimization is not.","Default behavior and local deployed settings differ.","","The public policy establishes the statement but not each customer's production configuration.","Partially verifiable","","Partly meets","","Optional or customer-configurable","","","","","2026-08-14","SRC-0010","What fields and features are disabled by default, and what retention is actually deployed for each customer?","Publish deployment-specific minimization records and independent configuration evidence.","A shorter default does not establish a local setting."
"FS-GLOBAL-017","OASPS-D02","Flock Safety ALPR ecosystem — deployment-specific retention","Global","Shared","","Generic public pages do not establish a customer's current retention, and the documentation set has not always presented one coherent versioned statement.","The LPR policy states a default; general privacy, trust, and compliance pages describe broader privacy and retention practices.","Automated retention controls are vendor-described.","Customer contracts, law, approvals, and configuration determine the deployed period.","","Public pages can be compared, but a timestamped local configuration is needed for independent verification.","Partially verifiable","","Partly meets","","Jurisdiction-specific","","","","","2026-08-14","SRC-0010|SRC-0014|SRC-0015|SRC-0016","What is the timestamped current retention setting for each deployment and how has it changed?","Publish local approval, contract term, configuration export, and change history.","Documentation differences are not evidence of improper retention."
"FS-GLOBAL-018","OASPS-D03","Flock Safety ALPR ecosystem — separate evidence preservation","Global","Shared","","No recoverable source in the repository establishes a separate case-linked evidence-preservation workflow for the reviewed Flock scope.","The parent Notion research referenced an announcement, but the supporting page was not directly retrievable and its specific feature claim is withheld.","Unknown from recoverable public evidence.","Unknown.","","No recoverable documentation or lawful independent sample establishes case linkage, authorization, expiry, holds, and deletion.","Unknown","","Unknown","","Unknown","","","","","2026-08-14","","Does a separate preservation workflow exist, and how are preserved records linked, authorized, expired, audited, and deleted?","Recover current product documentation or independently review a redacted preservation lifecycle through an authorized process.","Missing recoverable evidence is not proof that the feature or control is absent."
"FS-GLOBAL-019","OASPS-D04","Flock Safety ALPR ecosystem — deletion across storage paths","Global","Shared","","Flock describes concrete automated deletion and audit evidence, but public material does not establish every backup, replica, cache, derived index, export, evidence, and legal-hold path.","The deletion page describes lifecycle rules and annual control testing.","AWS S3 lifecycle deletion and CloudTrail deletion events are described.","Described as deployed for covered LPR data; exceptions and other stores are not fully public.","Cited deletion material describes lifecycle deletion and CloudTrail evidence for covered LPR data; other stores and exceptions are not fully public.","The technical description is specific, but the underlying report and complete storage map are unavailable here.","Partially verifiable","","Partly meets","","Deployed now","Affirmative","","","","2026-08-14","SRC-0019","Which storage and recovery paths remain after nominal deletion and how are exceptions tested?","Publish a storage map, lifecycle and hold rules, underlying assessment scope, and redacted results.","The concrete mechanism receives credit while evidence boundaries remain explicit."
"FS-GLOBAL-020","OASPS-D05","Flock Safety ALPR ecosystem — secondary and machine-learning use","Global","Shared","","Machine-learning use is publicly described, while complete ingestion, authorization, logging, retention, and deletion evidence is not independently available.","Privacy and trust pages describe limited internal improvement use; terms authorize use of Customer Data to support and improve services.","De-identification or separation is asserted; ingestion and governance controls are not fully public.","Described as current platform practice; customer-specific contract terms may vary.","Cited public terms, privacy policy, and trust material describe current secondary-use rights and practices; executed customer terms and actual use may vary.","External readers can compare public and contractual language but cannot establish the complete ingestion pipeline.","Partially verifiable","","Partly meets","","Deployed now","Affirmative","","","","2026-08-14","SRC-0012|SRC-0014|SRC-0015","What customer-derived data enters each model or product-improvement process and under what enforceable authorization?","Publish ingestion inventory, authorization, logs, de-identification evaluation, retention, deletion, and independent review.","No undisclosed-training allegation is made."
"FS-GLOBAL-021","OASPS-D06","Flock Safety ALPR ecosystem — contract-to-policy consistency","Global","Shared","","General terms grant broader support-and-improvement rights than the narrower public explanation of machine-learning use, so the public promise and enforceable rights are not fully aligned on their face.","Terms grant an enduring license for support and improvement; public privacy pages describe a narrower limited use.","No technical mechanism resolves the textual scope difference.","The documents are current public materials; executed customer terms may add or narrow obligations.","Cited public terms, privacy policy, and trust material provide the current document comparison; executed customer terms may add or narrow obligations.","The wording comparison is independently inspectable, while actual use and customer-specific terms are not.","Verified","The public terms grant support-and-improvement rights while the cited privacy and trust materials describe a narrower machine-learning use.","Does not meet","","Deployed now","Affirmative","","","","2026-08-14","SRC-0012|SRC-0014|SRC-0015","How are broader contractual rights narrowed to match public secondary-use promises for each customer?","Conduct a clause-level contract, policy, and local authorization review and resolve conflicts in enforceable terms.","This is a governance tension, not evidence of undisclosed use or legal noncompliance."
"FS-GLOBAL-022","OASPS-E01","Flock Safety ALPR ecosystem — inspectable implementation","Global","Vendor","","Public evidence does not establish the required public inspectability or all conditions for a narrow temporary restriction; this remains Unknown rather than a finding of failure or wrongdoing.","Customer and API terms protect proprietary methods and restrict reverse engineering or extraction; Flock announces testing under controlled agreements.","Independent security testing is asserted, but rights-relevant implementation scope is not documented.","The production system is proprietary; qualifying auditor access and scope are unknown.","","No public auditor-access contract, scope, findings, or remediation evidence establishes or disproves OASPS-level inspectability.","Partially verifiable","","Unknown","","Unknown","","","","","2026-08-14","SRC-0012|SRC-0013|SRC-0023","Which rights-relevant components are publicly inspectable, and for any temporary restriction, are the component-specific justification, public-authority approval, time limit, review, qualified access, and public reporting conditions met?","Publish applicable rights-relevant schemas, fields, logic, event semantics, retention and deletion behavior, sharing controls, inference behavior, prohibited-use enforcement, configuration and change semantics, and test evidence by default. For any component-specific temporary restriction, document the concrete security risk, independent public-authority approval, public withheld scope and general reason, duration and periodic review, complete enforceable qualified-reviewer access, and the greatest lawful public account of methods, scope, findings, exceptions, remediation, and retest.","OASPS treats public inspectability as the default. Restricted auditor-only access is a narrow, temporary exception only when every specified safeguard is met; proprietary or trade-secret status alone is insufficient. A restriction cannot conceal whether a consequential safeguard exists or operates. The present record establishes neither full public inspectability nor all exception conditions."
"FS-GLOBAL-023","OASPS-E02","Flock Safety ALPR ecosystem — published interfaces and data flows","Global","Vendor","","Public legal, API, policy, and product material describes important interfaces and flows but not one complete end-to-end rights-relevant data-flow specification.","API terms and product pages describe selected interfaces, restrictions, and capabilities.","Public API and product descriptions provide partial technical detail.","Interfaces and customer integrations vary.","Cited policy, API terms, and product material describe current public interfaces and selected flows; customer integrations and complete production flows are not established.","External readers can inspect public documentation but cannot reconcile it to every production flow.","Partially verifiable","","Partly meets","","Deployed now","Affirmative","","","","2026-08-14","SRC-0010|SRC-0013|SRC-0020","Where does every consequential field enter, transform, move, persist, export, or enter secondary use?","Publish versioned architecture, data-flow diagrams, integration inventory, trust boundaries, and independent correspondence testing.","Partial documentation receives credit."
"FS-GLOBAL-024","OASPS-E03","Flock Safety ALPR ecosystem — reproducible or attestable builds","Global","Vendor","","No public evidence was located showing reproducible builds or an equivalent independently testable identity process for rights-relevant components.","No supporting public policy or artifact was located in the reviewed source set.","Unknown from public evidence.","Unknown.","","No source revision, dependency lock, build recipe, artifact digest, or reproducibility result is public here.","Unknown","","Unknown","","Unknown","","","","","2026-08-14","","What exact artifact was reviewed and can an independent party reproduce or otherwise identify it?","Obtain source revision, dependency lock, build recipe, signed digest, and independent reproducibility or alternative assurance result.","Missing evidence is not proof that no internal build controls exist."
"FS-GLOBAL-025","OASPS-E04","Flock Safety ALPR ecosystem — production deployment attestation","Global","Vendor","","No public mechanism was located that links reviewed software, model, policy, and configuration to the production deployment serving a jurisdiction.","No supporting public attestation policy was located in the reviewed source set.","Unknown from public evidence.","Unknown.","","No signed production identity, jurisdiction mapping, verifier procedure, or spot-check result is public here.","Unknown","","Unknown","","Unknown","","","","","2026-08-14","","Can a reviewer verify that the assessed artifact and configuration are the ones operating for a specific customer?","Obtain signed artifact and configuration identities, deployment attestations, change history, and independent spot checks.","A security audit does not automatically establish production identity."
"FS-GLOBAL-026","OASPS-E05","Flock Safety ALPR ecosystem — versioned rights-relevant documentation","Global","Shared","","Dynamic rights-relevant pages do not consistently provide immutable versions, effective dates, change histories, and precise deployment-state labels.","Legal, trust, policy, and compliance pages publish current descriptions but are not one immutable versioned specification.","No complete machine-readable documentation history is exposed in the reviewed evidence.","Live pages can change independently of customer configuration and rollout.","Cited live policy, privacy, trust, and compliance pages were reviewed as current public documents; immutable history and deployment correspondence are not established.","Readers can observe current pages and visible dates but cannot reconstruct every effective version or map it to deployments.","Verified","The reviewed live pages do not collectively provide one immutable versioned history with deployment-state correspondence.","Does not meet","","Deployed now","Affirmative","","","","2026-08-14","SRC-0010|SRC-0014|SRC-0015|SRC-0016","What did each rights-relevant page say at each effective date and which customers or versions did it govern?","Publish immutable archives, effective dates, machine-readable changelog, and deployment-state vocabulary tied to local configuration.","The finding concerns documentation integrity, not improper product behavior."
"FS-GLOBAL-027","OASPS-E06","Flock Safety ALPR ecosystem — disclosure and adversarial testing","Global","Vendor","","Flock announces coordinated security work and Bishop Fox testing, but no independent report, scope, findings, remediation, or retest evidence is available in the cited source.","The vendor announcement describes retained adversarial testing.","Independent testing is asserted; technical outcomes are not supplied.","The vendor announcement describes retained testing, but current execution and rights-relevant scope are not independently established.","","The source is Flock's announcement, not a Bishop Fox assurance report.","Partially verifiable","","Partly meets","","Announced or future","","","","","2026-08-14","SRC-0023","What was tested, what failed, what was fixed, and did scope include rights-relevant safeguards?","Obtain the independent scope, findings, remediation, retest results, and a safe public summary.","Conventional security testing and civil-liberties assurance are distinct."
"FS-GLOBAL-028","OASPS-F01","Flock Safety ALPR ecosystem — democratic authorization","Global","Shared","","Platform and state terms can support local authorization, but democratic approval is a jurisdiction-specific government responsibility and cannot be fairly scored as a global vendor property.","State-specific terms recognize varying legal requirements.","No universal technical control can substitute for local democratic authorization.","Jurisdiction-specific.","","Authorization must be checked through local law, policy, procurement, and meeting records.","Partially verifiable","","Not applicable","","Jurisdiction-specific","","","Not applicable to a global vendor-level score because democratic authorization is jurisdiction-specific and assigned to government.","","2026-08-14","SRC-0022","What public authorization and material-change review exists for each deployment?","Review jurisdiction-specific statutes, ordinances, policies, procurement records, and votes.","The global row is not a Flock-only score; Fairfield is evaluated separately."
"FS-GLOBAL-029","OASPS-F02","Flock Safety ALPR ecosystem — independent oversight","Global","Independent oversight","","No global public evidence establishes independent rights/use oversight with complete access, authority, expertise, and resources across Flock deployments.","Security assessments and agency supervisory tools are discussed, but neither establishes universal independent rights oversight.","Unknown from public evidence.","Jurisdiction-specific and unknown globally.","","The reviewed source set contains no universal mandate, access right, report, or corrective-action record.","Unknown","","Unknown","","Jurisdiction-specific","","","","","2026-08-14","SRC-0016|SRC-0023","Which independent body reviews rights-relevant use, contracts, configuration, and complete audit evidence for each deployment?","Obtain local mandates, access authority, audit plans, reports, findings, and corrective actions.","Agency self-review and vendor security testing are not treated as independent rights oversight."
"FS-GLOBAL-030","OASPS-F03","Flock Safety ALPR ecosystem — trade-secret oversight carveout","Global","Shared","","Public terms protect proprietary methods and restrict reverse engineering, while no enforceable public-interest rights-review carveout is established in the reviewed materials.","Customer and API terms protect proprietary technology and limit source discovery or extraction.","Controlled security review may occur, but rights-focused source or implementation access is not documented.","Current contractual posture is proprietary; customer-specific addenda may vary.","Cited current public customer and API terms establish the reviewed proprietary restrictions; customer-specific addenda may vary.","The terms are public, but no qualified-review carveout or exercise of that right is evidenced.","Partially verifiable","","Does not meet","","Deployed now","Affirmative","","","","2026-08-14","SRC-0012|SRC-0013","Do procurement terms guarantee qualified review of rights-relevant functionality despite proprietary restrictions?","Obtain a contract carveout, confidentiality safeguards, dispute process, and evidence that qualified review can occur.","The proposed OASPS requirement needs procurement and public-law review."
"FS-GLOBAL-031","OASPS-F04","Flock Safety ALPR ecosystem — restriction or suspension","Global","Shared","","Terms and compliance tools describe account restriction and audit assistance, but no universal rule was located that suspends an affected capability after material rights-control failure until independent clearance.","Terms permit action against unauthorized or malicious use; compliance material describes audit-assistance controls.","Account restriction and customer compliance tools are described.","Available controls are platform- or customer-dependent; broader mandatory expansion is not treated as current without retrievable evidence.","","Public descriptions do not establish trigger criteria, complete incident handling, or independent restoration approval.","Partially verifiable","","Partly meets","","Optional or customer-configurable","","","","","2026-08-14","SRC-0012|SRC-0016","What material failures automatically or mandatorily restrict the affected capability and who clears restoration?","Publish trigger criteria, authority matrix, incident records, remediation, independent clearance, and restoration evidence.","Current controls receive credit without converting an unretrieved future promise into deployment fact."
"FS-GLOBAL-032","OASPS-F05","Flock Safety ALPR ecosystem — penalties and remedies","Global","Shared","","Vendor terms and state rules provide some account, contractual, or legal consequences, while the availability and effectiveness of remedies depend on jurisdiction and facts not established globally.","Terms allow account or service action; state-specific provisions reflect local legal obligations.","Vendor restrictions may be technically enforceable; civil, judicial, disciplinary, and public remedies are jurisdictional.","Jurisdiction-specific.","","No global evidence set can establish the full complaint, enforcement, notice, appeal, and remedy path for every deployment.","Unknown","","Unknown","","Jurisdiction-specific","","","","","2026-08-14","SRC-0012|SRC-0022","What meaningful remedies apply to intentional misuse, concealment, retaliation, and material control failures in each jurisdiction?","Review applicable law, contract, policy, complaint, enforcement, notice, and appeal records.","OASPS does not issue a global legal-remedy conclusion."
"FS-CT-FAIRFIELD-001","OASPS-F01","Fairfield Police Department Flock deployment — democratic authorization","Fairfield, Connecticut","Shared","","The Board of Selectmen unanimously approved the agreement on June 26, 2024 and authorized renewals on similar terms; the record does not show a full rights-relevant capability review.","Meeting minutes record approval and renewal authorization.","No technical control is relevant to the vote itself.","Historical 2024 jurisdiction-specific authorization; later material-change review is unknown.","","The official minutes independently establish the vote and stated purpose.","Verified","Official minutes record unanimous Board of Selectmen approval on 2024-06-26 and authorize renewals on similar terms.","Partly meets","","Historical","","2024-06-26","","","2026-08-14","SRC-0032","Did later capability, product, sharing, or retention changes receive additional public review?","Review later agendas, minutes, policies, amendments, and material-change approvals.","Historical authorization is meaningful but does not establish current deployment or the depth of privacy review."
"FS-CT-FAIRFIELD-002","OASPS-D02","Fairfield Police Department Flock deployment — 2024 order-form retention term","Fairfield, Connecticut","Shared","","The order form included in the board-approved 2024 meeting packet lists a 30-day retention term presented for approval; it does not independently establish execution, production configuration, or current operation.","The order form included in the board-approved meeting packet states Retention Period: 30 Days.","The stated order-form term does not independently establish a deployed retention control or configuration.","Historical 2024 order-form term presented for approval; execution, production configuration, and current setting unknown.","","The official municipal meeting packet independently establishes only that the included order form states a 30-day period.","Verified","The order form included in the board-approved 2024 meeting packet states a 30-day retention period.","Partly meets","","Historical","","2024-06-26","","","2026-08-14","SRC-0033","What is Fairfield's timestamped current retention setting and change history?","Obtain a current configuration export, amendment, order form, or other primary record.","The assessment compares the historical 30-day order-form term presented for approval with OASPS's short deployment-specific retention requirement and makes no legal conclusion."
"FS-CT-FAIRFIELD-003","OASPS-A01","Fairfield Police Department Flock deployment — original product inventory context","Fairfield, Connecticut","Agency","Agency is used because this context row evaluates Fairfield's procurement inventory rather than the shared system-level data-inventory duty.","The order form included in the board-approved 2024 meeting packet lists FlockOS Advanced, Falcon, Falcon Flex, Wing LPR, Wing VMS, Wing Gateway, and Condor PTZ quantities, showing a package broader than ALPR alone.","The order form included in the board-approved meeting packet lists products and quantities.","No rights-relevant data-field inventory is supplied by the product list.","Historical 2024 order-form scope presented for approval; current active inventory unknown.","","The official packet establishes the product list but not execution, current operation, or data schema.","Verified","The order form included in the board-approved 2024 meeting packet lists FlockOS Advanced, Falcon, Falcon Flex, Wing LPR, Wing VMS, Wing Gateway, and Condor PTZ quantities.","Not applicable","","Historical","","2024-06-26","Context-only procurement inventory row; the product list does not itself satisfy or permit assessment of the required data inventory.","","2026-08-14","SRC-0033","Which listed products are active now and what data does each current component create or use?","Obtain current inventory and a versioned ALPR-specific data dictionary.","Context row mapped to A01 for inventory relevance; it does not claim the product list satisfies the required data inventory."
